DT,latitude,longitude,R,NIR,Fmask,Sensor
2016172T232843,63.0398979,179.1493163,0.0732,0.2738,64,LC08
2016172T232843,63.1745585,179.132383,0.049800000000000004,0.25520000000000004,128,LC08
2016172T232843,63.2462262,179.0952475,0.0366,0.2296,64,LC08
2016172T232843,63.1778561,179.1682067,0.028800000000000003,0.2081,192,LC08
2016172T232843,63.3337091,178.9979193,0.07060000000000001,0.1898,64,LC08
2016172T232843,63.2367396,179.0491019,0.0366,0.29510000000000003,64,LC08
2016172T232843,63.1908564,179.0553359,0.0704,0.2394,64,LC08
2016172T232843,63.1643479,178.994274,0.057100000000000005,0.3123,64,LC08
2016172T232843,63.1367844,179.041577,0.18150000000000002,0.1925,128,LC08
2016174T231647,63.0398979,179.1493163,0.0726,0.2771,128,LC08
2016174T231647,63.1745585,179.132383,0.061700000000000005,0.268,64,LC08
2016174T231647,63.2462262,179.0952475,0.0658,0.26980000000000004,192,LC08
2016174T231647,63.1778561,179.1682067,0.0449,0.2516,192,LC08
2016174T231647,63.3337091,178.9979193,0.0608,0.19140000000000001,64,LC08
2016174T231647,63.2367396,179.0491019,0.045700000000000005,0.32220000000000004,64,LC08
2016174T231647,63.1908564,179.0553359,0.0717,0.24780000000000002,64,LC08
2016174T231647,63.1643479,178.994274,0.020900000000000002,0.3375,64,LC08
2016174T231647,63.1367844,179.041577,0.1041,0.1359,128,LC08
2016213T232249,63.0398979,179.1493163,0.0621,0.3023,64,LC08
2016213T232249,63.1745585,179.132383,0.0379,0.38170000000000004,64,LC08
2016213T232249,63.2462262,179.0952475,0.042800000000000005,0.39640000000000003,64,LC08
2016213T232249,63.1778561,179.1682067,0.0275,0.3677,64,LC08
2016213T232249,63.2367396,179.0491019,0.0403,0.3647,64,LC08
2016213T232249,63.1908564,179.0553359,0.0514,0.2894,64,LC08
2016213T232249,63.1643479,178.994274,0.0539,0.4138,128,LC08
2016213T232249,63.1367844,179.041577,0.0589,0.2968,128,LC08
2016220T232900,63.0398979,179.1493163,0.0606,0.2974,64,LC08
2016220T232900,63.1745585,179.132383,0.035300000000000005,0.37610000000000005,64,LC08
2016220T232900,63.2462262,179.0952475,0.0374,0.39840000000000003,64,LC08
2016220T232900,63.1778561,179.1682067,0.0229,0.3665,64,LC08
2016220T232900,63.3337091,178.9979193,0.0437,0.2574,64,LC08
2016220T232900,63.2367396,179.0491019,0.0351,0.3477,64,LC08
2016220T232900,63.1908564,179.0553359,0.0454,0.27290000000000003,64,LC08
2016220T232900,63.1643479,178.994274,0.035500000000000004,0.4063,64,LC08
2016220T232900,63.1367844,179.041577,0.0531,0.28500000000000003,64,LC08
2016222T231639,63.2462262,179.0952475,0.0497,0.4781,64,LC08
2016222T231639,63.3337091,178.9979193,0.0512,0.25720000000000004,64,LC08
2016229T232253,63.0398979,179.1493163,0.0711,0.3199,128,LC08
2016229T232253,63.1745585,179.132383,0.0472,0.3924,192,LC08
2016229T232253,63.3337091,178.9979193,0.0519,0.23320000000000002,64,LC08
2016229T232253,63.1643479,178.994274,0.046200000000000005,0.3931,64,LC08
2016236T232907,63.2462262,179.0952475,0.0473,0.42200000000000004,64,LC08
2016236T232907,63.3337091,178.9979193,0.0545,0.2831,64,LC08
2016236T232907,63.2367396,179.0491019,0.0337,0.2535,64,LC08
2016236T232907,63.1908564,179.0553359,0.054200000000000005,0.2884,64,LC08
2016252T232912,63.1745585,179.132383,0.0738,0.34590000000000004,64,LC08
2016252T232912,63.2462262,179.0952475,0.0746,0.3714,64,LC08
2016252T232912,63.1778561,179.1682067,0.0391,0.3224,64,LC08
2016252T232912,63.3337091,178.9979193,0.059300000000000005,0.2521,64,LC08
2016252T232912,63.2367396,179.0491019,0.0703,0.2882,64,LC08
2016252T232912,63.1908564,179.0553359,0.07250000000000001,0.24380000000000002,64,LC08
2016252T232912,63.1367844,179.041577,0.07780000000000001,0.2559,64,LC08
2017158T232838,63.1745585,179.132383,0.011600000000000001,0.23870000000000002,192,LC08
2017158T232838,63.2462262,179.0952475,0.0727,0.2589,128,LC08
2017158T232838,63.3337091,178.9979193,0.0485,0.1683,128,LC08
2017158T232838,63.2367396,179.0491019,0.0649,0.2091,192,LC08
2017158T232838,63.1908564,179.0553359,0.0666,0.1686,64,LC08
2017158T232838,63.1643479,178.994274,0.22080000000000002,0.33540000000000003,128,LC08
2017160T231617,63.0398979,179.1493163,0.08220000000000001,0.2245,128,LC08
2017160T231617,63.1745585,179.132383,0.027200000000000002,0.2571,192,LC08
2017160T231617,63.2462262,179.0952475,0.0685,0.2656,192,LC08
2017160T231617,63.3337091,178.9979193,0.053200000000000004,0.18780000000000002,192,LC08
2017160T231617,63.2367396,179.0491019,0.0635,0.2202,192,LC08
2017160T231617,63.1908564,179.0553359,0.07060000000000001,0.17900000000000002,128,LC08
2017160T231617,63.1643479,178.994274,0.2169,0.3301,192,LC08
2017174T232844,63.0398979,179.1493163,0.0665,0.2611,64,LC08
2017174T232844,63.1745585,179.132383,0.052700000000000004,0.3181,64,LC08
2017174T232844,63.2462262,179.0952475,0.0591,0.3241,64,LC08
2017174T232844,63.1778561,179.1682067,0.0487,0.24430000000000002,64,LC08
2017174T232844,63.3337091,178.9979193,0.061700000000000005,0.2024,64,LC08
2017174T232844,63.2367396,179.0491019,0.0441,0.2999,64,LC08
2017174T232844,63.1908564,179.0553359,0.0603,0.2182,64,LC08
2017174T232844,63.1643479,178.994274,0.0536,0.3341,64,LC08
2017174T232844,63.1367844,179.041577,0.0618,0.1587,64,LC08
2017199T232239,63.2462262,179.0952475,0.043000000000000003,0.39980000000000004,64,LC08
2017199T232239,63.3337091,178.9979193,0.053500000000000006,0.2263,64,LC08
2017199T232239,63.2367396,179.0491019,0.0431,0.4131,64,LC08
2017206T232854,63.0398979,179.1493163,0.0553,0.2958,64,LC08
